Paper_Author,Year,Algorithm,Device_Platform,CPU_Type,CPU_Freq_MHz,RAM_KB,Flash_KB,Data_Size_Bytes,Key_Size_Bits,Exec_Time_ms,Throughput_Kbps,Memory_Used_Bytes,Energy_mJ,Notes,Algorithm_Clean,is_fpga,is_8bit,is_32bit,is_asic,is_desktop,log_cpu_freq,is_low_memory,key_data_ratio,freq_per_kb_ram
Diehl et al.,2017,SPECK,Kintex-7 FPGA,FPGA,473.0,0.383,,12,96,,1622000.0,452.0,,HW area in LUTs,SPECK,1,0,0,0,0,6.161207321695077,1,1.0,1231.7708333333333
Diehl et al.,2017,PRESENT,Kintex-7 FPGA,FPGA,542.0,0.383,,8,80,,s1084000.0,311.0,,HW area in LUTs,PRESENT,1,0,0,0,0,6.297109319933935,1,1.25,1411.4583333333333
Diehl et al.,2017,AES-128,8-bit processor,Custom 8-bit,280.0,0.383,,16,128,14360.0,2501.0,377.0,,SW area in LUTs,AES-128,0,1,0,0,0,5.638354669333745,1,1.0,729.1666666666666
Diehl et al.,2017,SIMON,8-bit processor,Custom 8-bit,265.0,0.383,,12,96,58234.0,437.0,390.0,,SW area in LUTs,SIMON,0,1,0,0,0,5.583496308781699,1,1.0,690.1041666666666
Diehl et al.,2017,SPECK,8-bit processor,Custom 8-bit,325.0,0.383,,12,96,29046.0,1075.0,290.0,,SW area in LUTs,SPECK,0,1,0,0,0,5.786897381366708,1,1.0,846.3541666666666
Diehl et al.,2017,PRESENT,8-bit processor,Custom 8-bit,285.0,0.383,,8,80,20030.0,911.0,377.0,,SW area in LUTs,PRESENT,0,1,0,0,0,5.655991810819852,1,1.25,742.1875
Sleem & Couturier,2021,SPECK,ATmega328P,ATmega328P,16.0,2.0,32.0,16,96,0.94,,,,Original Speck 26 rounds,SPECK,0,1,0,0,0,2.833213344056216,0,0.75,7.9960019990005
Sleem & Couturier,2021,SPECK,ATmega328P,ATmega328P,16.0,2.0,32.0,512,96,29.668,,,,Original Speck 26 rounds,SPECK,0,1,0,0,0,2.833213344056216,0,0.0234375,7.9960019990005
Sleem & Couturier,2021,SPECK,Teensy 3.6,ARM Cortex-M4,180.0,256.0,,16,96,0.002,,,,32-bit processor,SPECK,0,0,1,0,0,5.198497031265826,0,0.75,0.7031222534286976
Sleem & Couturier,2021,SPECK,Teensy 3.6,ARM Cortex-M4,180.0,256.0,,65536,96,7.015,,,,Original Speck,SPECK,0,0,1,0,0,5.198497031265826,0,0.00018310546875,0.7031222534286976
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,1.448,,128,128,22616.0,,14168.0,,SIMON 128/128,SIMON,0,1,0,0,0,2.833213344056216,0,0.125,11.042097998619738
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,1.172,,96,144,15948.0,,11932.0,,SIMON 96/144,SIMON,0,1,0,0,0,2.833213344056216,0,0.1875,13.640238704177325
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.94,,64,96,12616.0,201.0,9616.0,,SIMON 64/96 - 2592 blocks,SIMON,0,1,0,0,0,2.833213344056216,1,0.1875,17.003188097768334
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.788,,48,96,10598.0,,8098.0,,SIMON 48/96,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,20.278833967046893
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.636,,32,64,8832.0,102.0,6332.0,,SIMON 32/64 - 648 blocks,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,25.11773940345369
Nithya & Kumar,2016,AES-128,ATmega328P,ATmega328P,16.0,3.296,,128,128,19824.0,259.0,14324.0,,AES baseline,AES-128,0,1,0,0,0,2.833213344056216,0,0.125,4.852896572641796
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.383,,16,64,,,102.0,40.0,SIMON 32/64 for 16 bytes,SIMON,0,1,0,0,0,2.833213344056216,1,0.5,41.666666666666664
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.383,,16,96,,,201.0,160.0,SIMON 64/96 for 16 bytes,SIMON,0,1,0,0,0,2.833213344056216,1,0.75,41.666666666666664
Nithya & Kumar,2016,AES-128,ATmega328P,ATmega328P,16.0,0.383,,16,128,,,259.0,210.0,AES for 16 bytes,AES-128,0,1,0,0,0,2.833213344056216,1,1.0,41.666666666666664
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.383,,512,64,,,3264.0,1300.0,SIMON 32/64 for 512 bytes,SIMON,0,1,0,0,0,2.833213344056216,1,0.015625,41.666666666666664
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.383,,512,96,,,6451.0,5100.0,SIMON 64/96 for 512 bytes,SIMON,0,1,0,0,0,2.833213344056216,1,0.0234375,41.666666666666664
Nithya & Kumar,2016,AES-128,ATmega328P,ATmega328P,16.0,0.383,,512,128,,,8281.0,6700.0,AES for 512 bytes,AES-128,0,1,0,0,0,2.833213344056216,1,0.03125,41.666666666666664
Bogdanov et al.,2007,PRESENT,ASIC,ASIC,0.1,0.383,,64,80,0.32,200.0,1570.0,0.0016,0.18µm process 1570 GE,PRESENT,0,0,0,1,0,0.09531017980432487,1,0.15625,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,32,64,1.6,15.0,763.0,,IBM 8RF 130nm,SIMON,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,32,64,2.67,12.0,884.0,,IBM 8RF 130nm,SPECK,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,48,72,3.2,15.1,631.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.1875,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,48,72,4.0,12.0,693.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.1875,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,48,96,3.2,15.0,739.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,48,96,4.0,12.0,794.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,64,96,3.6,17.8,838.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.1875,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,64,96,4.41,14.5,984.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.1875,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,64,128,3.84,16.7,1000.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,64,128,4.64,13.8,1127.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,96,96,6.49,14.8,984.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,96,96,6.96,13.8,1134.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,128,128,5.59,22.9,1317.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,128,128,10.58,12.1,1396.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Beaulieu et al.,2013,AES,ASIC,ASIC,0.1,0.383,,128,128,2.26,56.6,2400.0,,Reference from paper,AES-128,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.384,0.064,32,64,2.34,109.71,384.0,,168 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,41.55844155844156
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.424,0.044,32,64,1.51,169.54,424.0,,110 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.25,37.64705882352941
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.43,0.108,48,72,2.61,147.13,430.0,,187 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.1875,37.12296983758701
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.532,0.066,48,72,1.39,275.54,532.0,,100 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.1875,30.018761726078797
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.442,0.108,48,96,2.61,147.13,442.0,,187 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,36.11738148984199
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.562,0.069,48,96,1.45,264.83,562.0,,104 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.25,28.419182948490228
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.53,0.168,64,96,3.19,160.5,530.0,,205 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.1875,30.131826741996232
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.556,0.104,64,96,1.78,287.64,556.0,,114 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.1875,28.725314183123874
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.404,0.176,64,128,3.38,151.48,404.0,,217 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,39.50617283950617
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.596,0.108,64,128,1.84,278.26,596.0,,118 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.25,26.80067001675042
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.446,0.544,128,128,5.19,197.11,446.0,,333 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.125,35.79418344519016
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.388,0.256,128,128,2.17,471.43,388.0,,139 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.125,41.131105398457585
Beaulieu et al.,2013,AES,ATmega128,ATmega128,16.0,0.943,0.033,128,128,2.23,458.74,943.0,,Reference,AES-128,0,1,0,0,0,2.833213344056216,1,0.125,16.949152542372882
Dinu et al.,2015,AES-128,ATmega128,AVR,7.8,0.398,2.94,128,128,7.47,137.08,408.0,,CBC_mode_with_key_schedule,AES-128,0,1,0,0,0,2.174751721484161,1,0.125,19.548872180451127
Dinu et al.,2015,PRESENT,ATmega128,AVR,7.8,0.438,2.11,128,80,31.44,32.57,448.0,,CBC_mode_Assembly_impl,PRESENT,0,1,0,0,0,2.174751721484161,1,0.078125,17.767653758542142
Dinu et al.,2015,SIMON,ATmega128,AVR,7.8,0.355,1.06,128,96,8.16,125.49,363.0,,CBC_mode_64bit_block_Assembly,SIMON,0,1,0,0,0,2.174751721484161,1,0.09375,21.910112359550563
Dinu et al.,2015,SIMON,ATmega128,AVR,7.8,0.366,1.1,128,128,8.54,119.91,375.0,,CBC_mode_64bit_block_Assembly,SIMON,0,1,0,0,0,2.174751721484161,1,0.125,21.25340599455041
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.287,0.944,128,96,5.11,200.39,294.0,,CBC_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,0.09375,27.083333333333336
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.295,0.854,128,128,5.76,177.78,302.0,,CBC_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,0.125,26.35135135135135
Dinu et al.,2015,AES-128,MSP430F1611,MSP430,8.0,0.398,2.62,128,128,10.81,94.73,408.0,,CBC_mode_with_key_schedule,AES-128,0,0,0,0,0,2.1972245773362196,1,0.125,20.050125313283207
Dinu et al.,2015,PRESENT,MSP430F1611,MSP430,8.0,0.438,1.78,128,80,25.26,40.52,448.0,,CBC_mode_Assembly_impl,PRESENT,0,0,0,0,0,2.1972245773362196,1,0.078125,18.223234624145785
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.352,0.72,128,96,5.97,171.54,360.0,,CBC_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,0.09375,22.6628895184136
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.363,0.742,128,128,6.23,164.37,372.0,,CBC_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,0.125,21.978021978021978
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.281,0.543,128,96,3.92,261.22,288.0,,CBC_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,0.09375,28.368794326241133
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.289,0.559,128,128,4.04,253.47,296.0,,CBC_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,0.125,27.586206896551726
Dinu et al.,2015,AES-128,Cortex-M3,ARM,84.0,0.441,2.98,128,128,0.88,1163.64,452.0,,CBC_mode_with_key_schedule,AES-128,0,0,1,0,0,4.442651256490317,1,0.125,190.0452488687783
Dinu et al.,2015,PRESENT,Cortex-M3,ARM,84.0,0.459,2.07,128,80,3.27,313.15,470.0,,CBC_mode_Assembly_impl,PRESENT,0,0,1,0,0,4.442651256490317,1,0.078125,182.6086956521739
Dinu et al.,2015,SIMON,Cortex-M3,ARM,84.0,0.367,0.586,128,96,0.27,3790.15,376.0,,CBC_mode_64bit_block,SIMON,0,0,1,0,0,4.442651256490317,1,0.09375,228.2608695652174
Dinu et al.,2015,SIMON,Cortex-M3,ARM,84.0,0.383,0.547,128,128,0.28,3656.39,392.0,,CBC_mode_64bit_block,SIMON,0,0,1,0,0,4.442651256490317,1,0.125,218.75
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.301,0.48,128,96,0.18,5687.23,308.0,,CBC_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,0.09375,278.1456953642384
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.301,0.434,128,128,0.2,5120.98,308.0,,CBC_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,0.125,278.1456953642384
Dinu et al.,2015,AES-128,ATmega128,AVR,7.8,0.079,1.22,16,128,0.44,293.33,81.0,,CTR_mode_precomputed_keys_Assembly,AES-128,0,1,0,0,0,2.174751721484161,1,1.0,97.5
Dinu et al.,2015,PRESENT,ATmega128,AVR,7.8,0.055,1.26,16,80,2.16,59.26,56.0,,CTR_mode_precomputed_keys_Assembly,PRESENT,0,1,0,0,0,2.174751721484161,1,0.625,139.28571428571428
Dinu et al.,2015,SIMON,ATmega128,AVR,7.8,0.056,0.586,16,96,0.55,234.29,57.0,,CTR_mode_64bit_block_Assembly,SIMON,0,1,0,0,0,2.174751721484161,1,0.75,136.8421052631579
Dinu et al.,2015,SIMON,ATmega128,AVR,7.8,0.056,0.594,16,128,0.57,224.72,57.0,,CTR_mode_64bit_block_Assembly,SIMON,0,1,0,0,0,2.174751721484161,1,1.0,136.8421052631579
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.052,0.494,16,96,0.34,377.36,53.0,,CTR_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,0.75,147.16981132075472
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.052,0.441,16,128,0.37,346.25,53.0,,CTR_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,1.0,147.16981132075472
Dinu et al.,2015,AES-128,MSP430F1611,MSP430,8.0,0.078,1.14,16,128,0.56,228.57,80.0,,CTR_mode_precomputed_keys_Assembly,AES-128,0,0,0,0,0,2.1972245773362196,1,1.0,101.26582278481013
Dinu et al.,2015,PRESENT,MSP430F1611,MSP430,8.0,0.057,1.05,16,80,1.54,83.12,58.0,,CTR_mode_precomputed_keys_Assembly,PRESENT,0,0,0,0,0,2.1972245773362196,1,0.625,137.9310344827586
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.055,0.449,16,96,0.36,356.25,56.0,,CTR_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,0.75,142.85714285714286
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.055,0.457,16,128,0.38,337.21,56.0,,CTR_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,1.0,142.85714285714286
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.047,0.32,16,96,0.24,533.33,48.0,,CTR_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,0.75,166.66666666666666
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.047,0.324,16,128,0.25,512.0,48.0,,CTR_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,1.0,166.66666666666666
Dinu et al.,2015,AES-128,Cortex-M3,ARM,84.0,0.121,1.32,16,128,0.05,2560.0,124.0,,CTR_mode_precomputed_keys_Assembly,AES-128,0,0,1,0,0,4.442651256490317,1,1.0,688.5245901639345
Dinu et al.,2015,PRESENT,Cortex-M3,ARM,84.0,0.078,1.19,16,80,0.2,640.0,80.0,,CTR_mode_precomputed_keys_Assembly,PRESENT,0,0,1,0,0,4.442651256490317,1,0.625,1063.2911392405063
Dinu et al.,2015,SIMON,Cortex-M3,ARM,84.0,0.063,0.406,16,96,0.02,8000.0,64.0,,CTR_mode_64bit_block,SIMON,0,0,1,0,0,4.442651256490317,1,0.75,1312.5
Dinu et al.,2015,SIMON,Cortex-M3,ARM,84.0,0.063,0.379,16,128,0.02,7272.73,64.0,,CTR_mode_64bit_block,SIMON,0,0,1,0,0,4.442651256490317,1,1.0,1312.5
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.055,0.25,16,96,0.01,12800.0,56.0,,CTR_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,0.75,1500.0
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.059,0.27,16,128,0.01,13186.81,60.0,,CTR_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,1.0,1400.0
